Title,Description,Author,Editors,Date,Keywords,Publisher,Relation-Is Part Of,Source,Contributing Institution,Resource Identifier,Rights,Standardized Rights,Type,Format Digital,Language,Date Digital,Date created,Date modified,Reference URL,CONTENTdm number,CONTENTdm file name,CONTENTdm file path
"Twenty-First Annual Report January 1-December 31, 1969","The report gives a summary of the college's activity during the year including staff activity and projects conducted by forest management, range management, and wildlife and fisheries management. It also contains an appendix listing Forest, Wildlife and Range Experiment Station Staff and sources of research funds and other support. The cover of this report has a different font from previous issues.","Wohletz, Ernest; Tisdale, E.W.; Various Contributors",,1970-06-01,,"University of Idaho Forest, Wildlife and Range Experiment Station","Annual Reports - June, 1970 (Twenty-First)","Idaho SD12.I2 U45, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences; U.S. Department of Agriculture;",uifwre-ar21,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/12,12,11.pdf,/fwres/image/11.pdf
Management by Court Decree,"The publication is a speech presented to a large group of students in the College of Forestry, Wildlife and Range Sciences at the University of Idaho on March 22, 1977. It focuses on the key role of conflict management between people in the area of wildlife resource management.","Schroeder, William",,1977,,"University of Idaho Forest, Wildlife and Range Experiment Station",Miscellaneous Publication 4,"Idaho QH76.5 I2 M57, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-mp04,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/13,13,110.pdf,/fwres/image/110.pdf
The RARE II Process in Idaho: A Procedure for Evaluating Resource Tradeoffs,This report seeks to add to and point out deficiencies in the draft environmental impact statement released by the USDA Forest Service regarding a Roadless Area Review and Evaluation (RARE).,"McKetta, Charles W.; Hatch, Charles R.; Medema, E. Lee; Christophersen, Kjell A.",,1978-07-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Miscellaneous Publication 5,"Idaho QH76.5 I2 M57, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",,uifwre-mp05,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/14,14,111.pdf,/fwres/image/111.pdf
Rangeland Resources of Idaho A Basis for Development and Improvement,"The document provides a comprehensive description of Idaho range resources, including information about the physical and biological features of the state, land ownership and use, and identification of major problems of range use and land management. It includes colored photographs.","Sharp, Lee. A.; Sanders, Kenneth D.",,1978-09-01,,Idaho Rangeland Committee,Miscellaneous Publication 8,"Idaho QH76.5 I2 M57, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-mp06,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/15,15,112.pdf,/fwres/image/112.pdf
A Guide to Idaho Interpretive and Environmental Education Facilities and Sites,"This guide was prepared to aid educators, youth leaders, and anyone interested to locate Idaho facilities that interpret natural and cultural surroundings. Part I is a guide to interpretive areas and facilities and Part II is a brief description of several environmental education programs found in school systems throughout Idaho.","Spott, Diane M.; Fazio, James R.",,1979-05-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Miscellaneous Publication 7,"Idaho QH76.5 I2 M57, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-mp07,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/16,16,113.pdf,/fwres/image/113.pdf
Directory of Idaho Secondary Wood Manufacturers [March 1989],"A secondary wood products manufacturer receives partially processed raw material from primary mills and either further prepares, processes, or assembles the material into a customer or end-use product. This publication lists most of the secondary wood products manufacturers in Idaho, their products, and their location.","Gorman, Thomas M.",,1989-03-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Miscellaneous Publication 14,"Idaho QH76.5 I2 M57, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-mp14,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/17,17,114.pdf,/fwres/image/114.pdf
"Location Quotients, Excess Employment and Economic Short Run Economic Base Multipliers for Idaho's Forest Products Industry","The bulletin analyzes three measures commonly used to evaluate the impact of management activities on timber-oriented opportunities: location quotients, excess employment, and short run economic base multipliers.","Schuster, Ervin G.; Hatch, Charles R.; Koss, William D.",,1975-03-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Information Series - March 1975 (No. 10),"Idaho SD12.I2 U4, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-is10,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/18,18,115.pdf,/fwres/image/115.pdf
Directory of Idaho Wood Products Manufacturers [February 1992],"This Directory of Idaho Wood Products Manufacturers has been prepared to assist in marketing the wide variety of wood products produced in Idaho. The authors combine both primary and secondary wood products producers. This document serves as a single source of information on Idaho's wood products producers. There are two sections to this directory. The first is an alphabetical listing of all of Idaho's wood products manufacturers. The first section also contains summaries of each company's operation, giving background information on the size and type of each operation. The second section of the directory categorizes these companies by the products they manufacture.","Gorman, Thomas M.; Gomben, Peter C.; Folk, Richard L.",,1992-02-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Miscellaneous Publication 17,"Idaho QH76.5 I2 M57, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-mp17,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/19,19,116.pdf,/fwres/image/116.pdf
A Guide to Seedling Selection [September 1992],"This issue of 'A Guide to Seedling Selection' includes useful information concerning financial programs meant to help potential tree growers start up new operations. The guide also provides insight into various tree grower issues including weeds and animal damage. At the end of the publication are descriptions of various ground cover types, shrubs, deciduous and coniferous trees, special packages as well as books, journals, and publications of tree growing concern.","Dumroese, Kasten R.; Wenny, David L.",,1992-09-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Miscellaneous Publication 18,"Idaho QH76.5 I2 M57, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-mp18_1992,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/20,20,117.pdf,/fwres/image/117.pdf
A Guide to Seedling Selection [September 1996],"This issue of 'A Guide to Seedling Selection' includes useful information concerning financial programs meant to help potential tree growers start up new operations. The guide also provides insight into various tree grower issues including weeds and animal damage. At the end of the publication are descriptions of various ground cover types, shrubs, deciduous and coniferous trees, special packages as well as books, journals, and publications of tree growing concern.","Dumroese, Kasten R.; Wenny, David L.",,1996-09-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Miscellaneous Publication 18,"Idaho QH76.5 I2 M57, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-mp18_1996,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/21,21,118.pdf,/fwres/image/118.pdf
A Guide to Seedling Selection [September 1997],"This issue of 'A Guide to Seedling Selection' includes useful information concerning financial programs meant to help potential tree growers start up new operations. The guide also provides insight into various tree grower issues including weeds and animal damage. At the end of the publication are descriptions of various ground cover types, shrubs, deciduous and coniferous trees, special packages as well as books, journals, and publications of tree growing concern.","Dumroese, Kasten R.; Wenny, David L.",,1997-09-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Miscellaneous Publication 18,"Idaho QH76.5 I2 M57, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-mp18_1997,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/22,22,119.pdf,/fwres/image/119.pdf
Logging Slash: A Study of the Problem in Inland Empire Forests,The bulletin has four main functions. It reviews the history of the slash problem and conditions that have focused attention on it. It describes research being conducted on the logging slash problem and how it differs from previously conducted research. It also reports progress on a research program that has been underway and attempts to forecast the future of slash research and slash problems.,"Olson, D.S.; Fahnestock, George R.",,1955-07-01,logging;,"University of Idaho Forest, Wildlife and Range Experiment Station",Bulletin Number 1,"Idaho SD12.I2 B8, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences; U.S. Department of Agriculture;",uifwre-b01,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/23,23,12.pdf,/fwres/image/12.pdf
A Guide to Seedling Selection [September 1998],"This issue of 'A Guide to Seedling Selection' includes useful information concerning financial programs meant to help potential tree growers start up new operations. The guide also provides insight into various tree grower issues including weeds and animal damage. At the end of the publication are descriptions of various ground cover types, shrubs, deciduous and coniferous trees, special packages as well as books, journals, and publications of tree growing concern.","Dumroese, Kasten R.; Wenny, David L.",,1998-09-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Miscellaneous Publication 18,"Idaho QH76.5 I2 M57, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-mp18_1998,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/24,24,120.pdf,/fwres/image/120.pdf
The University of Idaho Taylor Ranch Wilderness Field Station,A history of the University of Idaho's Taylor Ranch Field Station located in the Frank Church Wilderness of No Return. Also included is an overview of various research projects that have been undertaken at the station as well as any significant findings.,"Hendee, John C.; Yeo, Jeffrey J.; LaSalle, Vito (Sonny); Akenson, James",,1993-01-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Miscellaneous Publication 15,"Idaho QH76.5 I2 M57, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-mp15,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/25,25,121.pdf,/fwres/image/121.pdf
A Guide to Seedling Selection [September 1999],"This issue of 'A Guide to Seedling Selection' includes useful information concerning financial programs meant to help potential tree growers start up new operations. The guide also provides insight into various tree grower issues including weeds and animal damage. At the end of the publication are descriptions of various ground cover types, shrubs, deciduous and coniferous trees, special packages as well as books, journals, and publications of tree growing concern.","Dumroese, Kasten R.; Wenny, David L.",,1999-09-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Miscellaneous Publication 18,"Idaho QH76.5 I2 M57, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-mp18_1999,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/26,26,122.pdf,/fwres/image/122.pdf
